argument,"... the Turing construction was more direct, and provided an argument from first principles, closing the gap in Church's demonstration.","Another argument involves energy, the time-component of the momentum.",Maybe the strongest argument supporting this theory comes from the comparison with NMO.,2
provider,"SPB TV AG (formerly named MobiWorld Media) is a provider of end-to-end OTT TV, IP TV and mobile TV solutions for video content delivery to multiscreen devices: mobile, tablet, desktop and TV.",Trunk lines are used for connecting a private branch exchange (PBX) to a telephone service provider.,"Easyrun Ltd. (47.79% holding), a provider of call centers software solutions.",1
combination,"Each combination of missile design factors, desired missile performance, and system constraints results in a new set of optimal control parameters.","The term was coined as a combination of ""information"" and ""automatic"" to describe the science of automating information interactions.",Traditional Thai massage is generally based on a combination of Indian and Chinese traditions of medicine.,2
surface,The two mallets act as antennas transmitting on slightly different frequencies and the drum surface acts as a set of antennas.,Most other graphics cards only have one overlay surface or in some cases will clone the same overlay.,"The electrodes were attached to an implanted receiver, which received its power from an antenna worn on the surface of the skin.",2
science,"Richard Jay ""Dick"" Lipton (born September 6, 1946) is an American computer scientist who has worked in computer science theory, cryptography, and DNA computing.","His formal education ended with 7th grade, however in 1928 his work would be recognized with an honorary Doctor of Science degree from the University of Pittsburgh.","It is one of the best and the most prestigious French universities, mainly in the areas of medical sciences, biomedical sciences, law, computer science, economics and psychology.",1
provider,Zensi was a demand-side energy monitoring solutions provider.,"Faxes are received as attached TIFF or PDF files, or in proprietary formats that require the use of the service provider's software.",It is the largest public sector provider of complementary medicine in Europe.,3
interpretation,"Sussman and Wisdom, with Meinhard Mayer, have produced a textbook, Structure and Interpretation of Classical Mechanics, to capture these new ideas.","It yields a new intuitive interpretation of the propagation of a Dirac particle and reproduces all results of standard quantum mechanics, including those supposedly at odds with it.",A physiologic interpretation of clearance (at steady-state) is that clearance is a ratio of the mass generation and blood (or plasma) concentration.,2
relation,"In mathematics and computer science, a dependency relation is a binary relation that is finite, symmetric, and reflexive; i.e.","After a considerable amount of work using many differential equations, the analysis produces a recursion relation for the Laguerre polynomials.","Due to lack of evidence, however, Spears was never charged with any offence in relation to the Flight 967 crash.",3
combination,"Hybrid DACs, which use a combination of the above techniques in a single converter.",Online heat sink calculators can provide a reasonable estimate of forced and natural convection heat sink performance based on a combination of theoretical and empirically derived correlations.,"Rehabilitation is a combination of learning daily living and work-related skills, and the use of suitable low vision devices, along with professional counseling.",2
arm,As of 2016 heterogeneous multi-core solutions are becoming more common: Xilinx Zynq UltraScale+ MPSoC has Quad-core ARM® Cortex™-A53 and Dual-core ARM Cortex-R5.,1892 — Seikosha is established in Tokyo as the clock manufacturing arm of K. Hattori.,"The superficial nodes are supplied by lymphatics that are present throughout the arm, but are particularly rich on the palm and flexor aspects of the digits.",4
expression,The left hand expression would specify patterns in the existing knowledge base to search for.,Notice the commutator expression is purely formal when one of the operators is unbounded.,Ferroportin expression is also regulated by the IRP regulatory mechanism.,4
