Term, Sentence A, Sentence B
motor,"Dand has also worked on several accessibility related inventions for emotional communication, autism and motor impairment.","Rotary spark gap - These use a spark gap consisting of electrodes around the periphery of a wheel rotated by a motor, which create sparks when they pass by a stationary electrode."
capacity,"With the Internet a new capacity for collective, including planetary-scale, problem solving was created.","It also took some time for other storage manufacturers to release products: most were smaller devices aimed at the professional market, and focussed on speed rather than high capacity."
bell,"In 1993 Rastogi started working at Bell Labs in Murray Hill, New Jersey.","In the wire spring relay key service units of the Bell System 1A2, a model 216 automatic ringdown was used to operate the circuit."
force,"It's really hard to force someone to do work, you can't beat someone up through a computer screen.""",The only way of stopping conduction is to make the external circuit force the current to drop below a (low) critical current.
mapping,"Because of this density criterion for neural mappings, neural maps which are interconnected by a neural mapping are not far apart from each other.","Hence each ingress switch can be paired off with an egress switch that carries the same call, via a one-to-one mapping."
force,"In 1989, Steele solved the game Teeko via computer, showing what must occur if both players play wisely; he found that neither player can force a win.","The driving force was to replace toxic and cumbersome potting processes, faster cycle times, lighter parts and environmentally safe components."
flash,VLC can be installed or run directly from a USB flash drive or other external drive.,"In most systems, this caused the entire screen to quickly ""flash"" before clearing to a blank state."
law,"In the judgment in CFPH LLC's Applications, Peter Prescott referred to Rule 39.1 PCT when discussing the motivation behind the exclusion from patent protection of programs for computers under UK law.","Therefore, the capacitance can be calculated in a straightforward way using Gauss's law."
solution,"That may be a solution for some people, but it's not mine.","One solution to this problem would be to sell these defected panels at a lower price than normal ones, clearly indicating the presence of such defects."
interpretation,"Linear Programming Interpretation of Max-Flow Min-Cut Theorem"".","In this case, the physical interpretation is more difficult."
bell,"In videotext mode, Bell 202 modems were typical, offering a 1,200 bit/s download rate.","He conducted research at Bell Labs from 1967 to 1991, and again from 1997 to 2002 as Vice President of the Computing Sciences Research Center."
cycle,"In management this can be present as a ""hero-scapegoat"" cycle.",This modulation converts the linearly polarized light into circularly polarized light at the peaks of the modulation cycle.
studio,She worked on the 2001 video game Anachronox and served as Director of Technology at the studio.,"On April 20, 2016, AOL acquired virtual reality studio RYOT to bring immersive 360 degree video and VR content to The Huffington Post’s global audience across desktop, mobile, and apps."
surface,The number of cells on a surface of a d-dimensional von Neumann neighborhood of range r is the Zaitsev number (sequence A266213 in the OEIS).,"At lower temperatures, around 250 °C, there is insufficient thermal energy for surface segregation to occur but still sufficient for a good quality single crystal alloy to form."
mapping,The integration is performed by means of an automatic mapping and by filling in lexical gaps in resource-poor languages with the aid of statistical machine translation.,"""Co-existence of cycles of a continuous mapping of the line into itself""."
surface,Hubbard at the Naval Surface Warfare Center Dahlgren Division discovered this in 1965.,"One process is called thermal oxidation, which forms silicon dioxide on the surface of the silicon."
interpretation,Burgin's interpretation of super-recursive algorithms has encountered opposition in the mathematical community.,"In other words, discussions about interpretation of the theory, and extensions to it, are now mostly conducted on the basis of shared assumptions about the mathematical foundations."
studio,"ProGet currently supports a growing list of package managers, including Nuget, Chocolatey, Bower, npm, Maven, PowerShell, RubyGems, Docker and Visual Studio Extensions (.vsix).","In August 2016, Univision announced a deal to broadcast Spanish-language Los Angeles Rams programming, including pre-season games and studio programs."
