Term, Sentence A, Sentence B, Sentence C, Sentence D
laboratory,In 1965 she started as a software engineer at Los Alamos National Laboratory.,The Foundation is supported by the University of Cambridge Computer Laboratory and Broadcom.,The research was managed by the Psychoenergetic Laboratory of Professor Kahuda.,"He used it again and again in laboratory lectures to the public and continued to make excursions with his smaller model, which he finally sold to the museum for 120 guilders in 1790."
structure,GOMS is a specialized human information processor model for human-computer interaction observation that describes a user's cognitive structure on four components.,"Projection displays that use three monochrome CRTs do not have a dot structure, so this specification does not apply.",They are similar to the mineral phase of the bone in structure and/or chemical composition.,"Two-step level controls for fluids, an early form of discontinuous variable structure controls, was developed by the Banu Musa brothers."
part,"Pellow recalled having little experience with programming languages, ""... apart from using a bit of Pascal and FORTRAN as part of my degree course.""",the result of the inspection serve as a criterion to reject a part (for scrap or re-work).,This apparent primacy of social learning over biology became part of the intellectual underpinning of the feminist movement of the 1960s.,Participation in industry trade shows and participation in organizations is a key part of the marketing strategy of Kal Tire.
author,"The amount of the donation may also be stipulated by the author, or it may be left to the discretion of the user, based on individual perceptions of the software's value.","Yampolskiy is an author of some 100 publications, including numerous books.","The author is William F. Enneking, a tutor and leader in orthopedic oncology.","Before the death of its primary author in 2005, a new (third) edition of the book was released, with the collaboration of Charles P. Poole and John L. Safko."
partner,"In 2009, GasBuddy launched OpenStore with its first convenience store partner, Rutter's, by building the Rutter's app and supporting digital marketing efforts through its custom platform.","PGi’s proprietary and partner products include solutions for web conferencing, audio conferencing, webcasting and videoconferencing.","He was a partner there until 1997 when the firm merged with James, Hoyer & Newcomer the firm is now James, Hoyer, Newcomer & Smiljanich, P.A.","The firm welcomed two new partners at this point; James Fenton (previously Marshall's partner) and William Lister (a millwright of Bramley, Leeds)."
respect,"In terms of design, this implies that redundancy should be introduced with respect not only to one sensory modality but to several.","Like birefringence, diattenuation can be with respect to linear polarization modes (in a crystal) or circular polarization modes (usually in a liquid).","Employers have appreciated the positive attributes of communication, teamwork, respect and collaboration that PBL experienced students have developed.","In comparison to conventional statistical approaches such as statistical energy analysis (SEA), DEA provides more structural details and is less problematic with respect to subsystem division."
author,The practice in 1960 was to list only the head of the division as author.,The Kleene Award  is awarded at the annual IEEE Symposium on Logic in Computer Science (LICS) to the author(s) of the best student paper(s).,"ISBN 9788123772189
Kavya ka Faisla (Hindi Translation by the author), National Book Trust (India); 2015.","The Tsirelson bounds are named after B. S. Tsirelson, (or Boris Cirel'son, in a different transliteration) the author of the paper in which the first one was derived."
concept,"With this indication of widespread interest in the concept of Siftables, Merrill and Kalanithi decided to focus on developing Siftables into a retail product.","During this period NEC introduced the concept of ""C&C"", the integration of computers and communications.",The concept most resembles a powerful squirt gun penetrating through skin.,"He also worked on Concept Art and Design for Mad Max: Fury Road (2015), which won six Academy Awards."
author,He is also an author of over 150 peer-reviewed articles with the Why and where: A characterization of data provenance as of 2013 he received 810 citations.,"Robert Allen Pease (August 22, 1940 – June 18, 2011) was an analog integrated circuit design expert and technical author.",The author also states that the Joint Statement presents an unsupported opinion by implication that Optometrists claim that vision therapy cures the learning problem.,"Subject and author index (PDF), NATO AGARD Report 578 CS1 maint: Extra text: authors list (link) Page 13."
consequence,There is also some evidence for loss of dendritic spines as a consequence of aging.,"As a consequence of Cromaclear's new mask form, the electron beam used to pass through the slot mask had to be adapted to match.",This phenomenon was originally thought to be a consequence of depletion of thiol (–SH) groups necessary for the reduction of nitrates.,"Time-reversibility
An immediate consequence of instantaneity, time-reversibility means that a time-reversed Stokes flow solves the same equations as the original Stokes flow."
detector,"""Interview with Dmitriy Vyukov — the author of Relacy Race Detector (RRD)"".",The phase detector's comparison is made between the outputs of the two oscillators after frequency division by different divisors.,"The energy of the photon, 159 keV, is ideal for the NaI (sodium iodide) crystal detector of current gamma cameras and also for the pinhole collimators.",A plate based on this mechanism is called a photostimulable phosphor (PSP) plate and is one type of X-ray detector used in projectional radiography.
institution,"from the University of California, Berkeley in 1987 and, her Ph.D. in computer science from the same institution in 2004.","Members of the Institution of Engineering and Technology (MIET) are recognised professionally in Europe, as Electrical and computer (technology) engineers.","A standardized management plane of febrile, neutropenic patients must be devised in each institution or agency.","From The Annual Report of the Smithsonian Institution, 1929
History of Singer sewing machines"
argument,"Data objects were values, not references, and the calling conventions gave a choice between call by value and call by reference for each argument.","It is linear in its first argument: (ax1 + bx2) · y = ax1 · y + bx2 · y for any scalars a, b, and vectors x1, x2, and y.","Phillips left The Guardian in 1993, saying that her relationship with the paper and its readers had become ""like a really horrific family argument"".","However, the basic program has been criticized as relying on a circular argument (e.g."
part,"In 1988, Sussman and Wisdom found data using the Orrery which revealed that Pluto's orbit shows signs of chaos, due in part to its peculiar resonance with Neptune.",Using Parsing of Natural Language as Part of Document Retrieval.,Hetacillin is a beta-lactam antibiotic that is part of the aminopenicillin family.,"From idle through medium engine loads, AVCS advances the intake valves to begin opening during the last part of the exhaust stroke, when the exhaust valves are still slightly open."
consequence,"In consequence, clear distinctions between humans and machines no longer exist.","As a consequence, the symmetry of a quantum state can only change if a particle, which is new to the system, interacts with the state.","In the late 1950s and early 1960s, thousands of children were born with deformities, most notably phocomelia, as a consequence of thalidomide use.",Their convergence is a consequence of Strang's lemma.
respect,All star worlds in a forest of stars must have intersections that are also star worlds with respect to their center point.,"On broadcast equipment, such as timebase correctors and studio monitors, this control is typically marked ""phase,"" as it adjusts the phase of the color signal with respect to the color burst signal.","In September 1996, after being asked by Katharine Graham, the Princess went to Washington and appeared at a White House breakfast in respect of the Nina Hyde Center for Breast Cancer Research.","where P is the pressure, V0 is the reference volume, V is the deformed volume, B0 is the bulk modulus, and B0' is the derivative of the bulk modulus with respect to pressure."
consequence,"As a consequence of Gauss's lemma, this amounts to solving the problem also over the rationals.",As a consequence the company has developed its own advanced technology and registered patents .,Moran states that it would be unwise routinely to dismiss anti-E as being of little clinical consequence.,The worst possible consequence that can result is leakage of radioactive materials (U-235 or Pu-239).
formula,The theorem also leads to a formula for perfectly reconstructing the original continuous-time function from the samples.,"In the days when computers were uncommon, estimates were derived from the Load Factor using an empirical formula.","The pertechnetate ion is an oxoanion with the chemical formula TcO−
4.","The gauge-to-diameter ratio is not defined by a formula, but is instead based on, but is not identical to, the Stubs Steel Wire Gauge, which originated in Britain during the 19th century."
concept,This model is based on the concept of membrane ion channels and relies on data from the squid giant axon.,"A similar concept, also named SSTV, was used on Faith 7 as well as on the early years of the NASA Apollo program.","At the Cairo Conference, several states made formal reservations either to the concept of reproductive rights or to its specific content.","The concept of phase space was developed in the late 19th century by Ludwig Boltzmann, Henri Poincaré, and Willard Gibbs."
glass,"He designed and constructed six stained glass windows for the Refectory at Adelaide University, South Australia.","They would remain there for 43 years, until a much more modernist concrete and glass facility was built adjacent to it (on the same property) in 1998.",One whole grapefruit or a glass of 200 mL (6.8 US fl oz) of grapefruit juice can cause drug overdose toxicity.,Suspended mobiles were first made with colored glass and small wooden objects that hung on long threads.
detector,"Therefore, finite-length predictors that render the noise at the input of the sequence detector approximately white are of interest.","In other words, all our actual knowledge of a physical object is based on, at least in principle, the experimentally detected relationships between the object and a suitable detector.","This can be done with electrical recordings (""optrodes"") or with reporter proteins that are biosensors, where scientists have fused fluorescent proteins to detector proteins.","The width of the peak will be governed by the resolution of the detector, provided that the charmed baryon is reasonably stable (such as the Λ+
c which has a lifetime of around (2±10)×10−13 s)."
glass,"The next version of Storytelling Alice is known as Looking Glass, and is being developed at Washington University in St. Louis.",Super LCD differs from a regular LCD in that it does not have an air gap between the outer glass and the display element.,"uses PCR to detect all known serotypes (7) of astrovirus
1995: In their sixth report, ICTV establishes Astroviridae as a viral family
1996: Glass et al.","Since this battery experiences very different load characteristics than a normal car battery, BMW used an absorptive glass mat type instead."
argument,"For example, the argument, “All young girls wear skirts.",An argument of perigee of 270° places apogee at the northernmost point of the orbit.,Snow additionally disagreed with Simpson's argument that the laboring patient should be anesthetized to the level of unconsciousness.,"Einstein's theoretical argument was based on thermodynamics, on counting the number of states, and so was not completely convincing."
partner,Citizen scientists often partner with professional scientists to achieve common goals.,Rockchip's primary foundry partner GlobalFoundries announced a partnership with ARM to optimize the ARM Cortex-A12 for their 28 nm-SLP process.,"IQAir, the educational partner of the American Lung Association, has been a leading industry voice against ozone-producing air cleaning technology.","""In January, 2010, four months after breaking ground, Stirling Energy partner company Tessara Solar completed the 1.5 MW Maricopa Solar power plant in Peoria, Arizona, just outside Phoenix."
statement,The statement was first proven by Claude Berge in 1959.,"For states with a definite energy, this is a statement of the de Broglie relation between frequency and energy, and the general relation is consistent with that plus the superposition principle.",The statement made by the university hospital also added that Ms Sert would give birth by C-section to prevent any complications.,The statement of the lemma here is a simple rewriting of the right-hand inequality stated in Theorem 1 in.
institution,"This institution is often referred to simply as ""Council"" in Communications of the ACM.","Interview with Eckert Transcript of a video interview with Eckert by David Allison for the National Museum of American History, Smithsonian Institution on February 2, 1988.",This entity is associated with acute kidney failure due to uric acid nephropathy prior to the institution of chemotherapy and is largely associated with lymphoma and leukemia.,"3–28 


== External links ==

John Stevens Collection, 1808 - 1881 Archives Center, National Museum of American History, Smithsonian Institution."
expression,The left hand expression would specify patterns in the existing knowledge base to search for.,"As can be seen from the expression above, the two possible measurement outcomes are zero and one, both with probability of 50%.","A pseudodeficiency allele or pseudodeficiency mutation is a mutation that alters the protein product or changes the gene's expression, but without causing disease.","More specifically, we shall derive an analytical expression for the strength of the inter-dot Foerster coupling."
sin,"Another is sin(2πBt)u(t), a sine wave starting at time 0, at the cutoff frequency.",The original SIN (Spanish International Network) was established in 1962 as the predecessor of the modern Univision network.,"During this time, St. Thomas Aquinas emphasized that suicide was a mortal sin because it disrupted God's power over man's life and death.","The quantum-mechanical prediction for the above setup is:
(7) P(a+, b+) = 1/2 (sin(a − b)/2)2."
respect,"Test Completeness: Each processing function φ must be executable for at least one input, with respect to all memory states.",Philips solved a significant problem with electronic displays in the mid-1990s by slanting the cylindrical lenses with respect to the underlying pixel grid.,We would also ask you to write to the Department of Health requesting evidence-based information for trusts and for patients with respect to alternative medicine.,"It specifies the point with respect to which dynamic reaction force at the contact of the foot with the ground does not produce any moment, i.e."
ion,In molecular calculations a similar approach is sometimes used by first calculating the wave function for a positive ion and then to use these orbitals as the starting point for the neutral molecule.,A beryllium ion has been trapped in a superposed state.,"The cellular mechanisms of commotio cordis are still poorly understood, but probably related to the activation of mechanosensitive proteins, ion channels.","Electronic entropy can substantially modify phase behavior, as in lithium ion battery electrodes, high temperature superconductors, and some perovskites."
structure,"The key features of Structured Design, such as Structure Chart, the Data flow diagram are all commonly used and taught worldwide.",The mode describes the electromagnetic field patterns caused by the geometry of the transmission structure.,"Pupillary reflex should have been named iris reflex, because iris is the actual muscular structure that responds to light and pupil is merely the passive opening formed by the active iris.","An excited structure responds according to its natural-dynamics modes, which results in a dynamic stress load in the material points."
formula,The output signal to interference ratio has a simple formula referred to as power inversion.,This formula simply states that the number of dies which can fit on the wafer cannot exceed the area of the wafer divided by the area of each individual die.,The use of hydrolysed milk baby formula versus standard milk baby formula does not appear to change the risk.,Newton never explicitly stated the formula in the reduced form above.
relation,An approach/avoidance effect was found in relation to product evaluation.,A normal mode of an oscillating system is a pattern of motion in which all parts of the system move sinusoidally with the same frequency and with a fixed phase relation.,The Three Rs (3Rs) in relation to science are guiding principles for more ethical use of animals in testing.,Crocco's theorem gives the relation between the thermodynamics and fluid kinematics.
message,"Effective coding techniques include validating input and output data, protecting message integrity using encryption, checking for processing errors, and creating activity logs.",The controlling signaling used to initiate an MPEG is referred to as an SCTE-35 message.,"Answers telephone appropriately; calls person to phone or takes a brief message
Speech is almost entirely grammatically correct.",The advantages are having much bigger mailboxes and maximum message size than most commercial e-mail services.
father,"As a teenager, his father was assigned to Addis Ababa, Ethiopia, where he lived for three years.","Called ""the father of supercomputing,"" Cray has been credited with creating the supercomputer industry.","In 1868, Dr. W. George Beers of Montreal (""the father of lacross"") published the Canadian Journal of Dental Science.","Clare Lucas, daughter of Roy Lucas, said: ""I would go so far as to say that the Norwegian Government murdered my father because they knew that they were diving with an unsafe decompression chamber."""
