ANONYMIZED,Term,Sentence_A,Sentence_B,ANONYMIZED,Answer1,ANONYMIZED,Answer2,Agreement,Answer,Date
ANONYMIZED,interpretation,Burgin's interpretation of super-recursive algorithms has encountered opposition in the mathematical community.,"In other words, discussions about interpretation of the theory, and extensions to it, are now mostly conducted on the basis of shared assumptions about the mathematical foundations.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:01:40 UTC
ANONYMIZED,mapping,"In other words, NETtalk learns to use the letters around the currently pronounced phoneme that provide cues as to its intended phonemic mapping.","If an object or space can be represented by a forest of stars, it can be mapped onto a sphere-world by mapping each star world onto the boundary of its parent star world in the adjacency tree.",ANONYMIZED,Almost the same,ANONYMIZED,Almost the same,Yes,Almost the same,2018-10-08 17:02:42 UTC
ANONYMIZED,relation,Applying gradient descent independently to each pixel of the input produces images in which adjacent pixels have little relation and thus the image has too much high frequency information.,"However, the De Broglie relation is not true in a crystal.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:03:38 UTC
ANONYMIZED,motor,Many aspects of human perceptual and motor behavior can be modeled with Bayesian statistics.,"On December 12, 1980, Apple went public at $22 per share, generating more capital than any IPO since Ford Motor Company in 1956 and immediately creating 300 millionaires.",ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:01:54 UTC
ANONYMIZED,transfer,The accessible surface area (ASA) method is based on experimental linear relations between Gibbs free energy of transfer and the surface area of a solute molecule.,"The primary purpose of interleaving was to adjust the timing differences between when the computer was ready to transfer data, and when that data was actually arriving at the drive head to be read.",ANONYMIZED,Almost the same,ANONYMIZED,Almost the same,Yes,Almost the same,2018-10-08 17:02:47 UTC
ANONYMIZED,flash,VLC can be installed or run directly from a USB flash drive or other external drive.,"In most systems, this caused the entire screen to quickly ""flash"" before clearing to a blank state.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:01:36 UTC
ANONYMIZED,bell,"In videotext mode, Bell 202 modems were typical, offering a 1,200 bit/s download rate.","He conducted research at Bell Labs from 1967 to 1991, and again from 1997 to 2002 as Vice President of the Computing Sciences Research Center.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:03:42 UTC
ANONYMIZED,capacity,"Advantages can include lower average power consumption in mobile handsets, higher average bit rate for simultaneous services like data transmission, or a higher capacity on storage chips.","Programmers attempting to make maximum use of the cache may arrange their programs' access patterns so that only 1 MiB of data need be cached at any given time, thus avoiding capacity misses.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:03:10 UTC
ANONYMIZED,studio,She worked on the 2001 video game Anachronox and served as Director of Technology at the studio.,"On April 20, 2016, AOL acquired virtual reality studio RYOT to bring immersive 360 degree video and VR content to The Huffington Postâ€™s global audience across desktop, mobile, and apps.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:03:51 UTC
ANONYMIZED,motor,"Dand has also worked on several accessibility related inventions for emotional communication, autism and motor impairment.","Rotary spark gap - These use a spark gap consisting of electrodes around the periphery of a wheel rotated by a motor, which create sparks when they pass by a stationary electrode.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:02:06 UTC
