ANONYMIZED,Term,Sentence_A,Sentence_B,Sentence_C,ANONYMIZED,Answer1,ANONYMIZED,Answer2,Agreement,Answer,Date
ANONYMIZED,combination,Technology commentators describe the app as a combination between the apps Tinder and Secret.,A power inverter can be entirely electronic or may be a combination of mechanical effects (such as a rotary apparatus) and electronic circuitry.,The beam exiting the spoiler is a combination of the spoiler-attenuated photons and the spoiler-generated electrons.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:28:33 UTC
ANONYMIZED,consequence,"As a consequence, they could benefit the most from technology that relieves the burden of researching the large body of patent information.",This is an unavoidable consequence of any system that samples an otherwise continuous signal at discrete intervals or locations.,The evolution of these two lineages is thought to have occurred as a consequence of quarantine measures.,ANONYMIZED,Almost the same,ANONYMIZED,Almost the same,Yes,Almost the same,2018-10-11 09:27:44 UTC
ANONYMIZED,interpretation,"The interpretation of an independence result could be that either no polynomial-time algorithm exists for any NP-complete problem, and such a proof cannot be constructed in (e.g.)","Oculus responded, ""This complaint filed by ZeniMax is one-sided and conveys only ZeniMax's interpretation of the story.","Training includes all aspects of radiation physics, radiation biology, radiation safety, radiologic technique, the patho-physiology of disease and interpretation of diagnostic images.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-11 09:30:32 UTC
ANONYMIZED,formula,This is equivalent to sets defined by both a universal and existential formula in the language of second order arithmetic and to some models of Hypercomputation.,It is now commonplace to find ceramic-coated components in modern engines and on high-performance components in race series such as Formula 1.,"On September 8, 2016, Panasonic was unveiled as the title sponsor for the new Jaguar Formula E team.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-11 09:25:22 UTC
ANONYMIZED,presence,"REEM can be used as a guide, entertainer, dynamic information point, for surveillance, tele presence, personal assistance, or as a robotic platform for research.","In a network utilising SMLT, it is often no longer necessary to run a spanning tree protocol of any kind since there are no logical bridging loops introduced by the presence of the IST.",The presence of the sternalis may cause alterations in the electrocardiogram or confusion in mammography.,ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:29:04 UTC
ANONYMIZED,consequence,"As a consequence, Symbian's market share fell, and application developers for Symbian dropped out rapidly.",This yields an unexpected consequence; the excitonic resonance can equally well originate from an electronâ€“hole plasma or the presence of excitons.,"He believed that this result was a consequence of the flow of subtle energy between himself and the patient, rather than any physical intervention.",ANONYMIZED,Exactly the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:24:05 UTC
ANONYMIZED,expression,"Markov algorithms have been shown to be Turing-complete, which means that they are suitable as a general model of computation and can represent any mathematical expression from its simple notation.",Opponents of the laws argue that they endanger free speech and free expression by harmfully regulating the internet.,"However, the rearrangement of several lambda variable subgenes can activate expression of an overlapping miRNA gene, which has consequences for gene expression regulation.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:29:30 UTC
ANONYMIZED,desktop,"Applications like Windows Defender, Automatic Disk Defragmenter and Windows Desktop Search (during indexing) already use this feature.","By 2005, semiconductor technology allowed dual high-end desktop CPUs CMP chips to be manufactured in volume.","ISBN 0-7506-3564-9
The Desktop Guide to Complementary and Alternative Medicine: An Evidence-based Approach.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:28:49 UTC
ANONYMIZED,combination,"Hybrid DACs, which use a combination of the above techniques in a single converter.",Online heat sink calculators can provide a reasonable estimate of forced and natural convection heat sink performance based on a combination of theoretical and empirically derived correlations.,"Rehabilitation is a combination of learning daily living and work-related skills, and the use of suitable low vision devices, along with professional counseling.",ANONYMIZED,Almost the same,ANONYMIZED,Extremely different,No,no_agreement,2018-10-11 09:24:53 UTC
ANONYMIZED,arm,As of 2016 heterogeneous multi-core solutions are becoming more common: Xilinx Zynq UltraScale+ MPSoC has Quad-core ARMÂ® Cortexâ„¢-A53 and Dual-core ARM Cortex-R5.,1892 â€” Seikosha is established in Tokyo as the clock manufacturing arm of K. Hattori.,"The superficial nodes are supplied by lymphatics that are present throughout the arm, but are particularly rich on the palm and flexor aspects of the digits.",ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:26:21 UTC
ANONYMIZED,software,The PAL software and related publications are available at the PAL Framework website.,"On average, software engineers are getting paid between 250,000 and 1,500,000 rupees (US$4,000 to US$23,000) in India as opposed to $40,000-$100,000 in countries such as the US and Canada.","In the last years a number of smart phone apps have been developed that implement DAF/FAF as software and are much cheaper than the special hardware devices, see External links.",ANONYMIZED,Exactly the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:31:38 UTC
