year,"That same year, Douglas Engelbart also completed work on a hypertext system called NLS (oN-Line System).","Conventional techniques typically replace half a bridge at a time, with all highway traffic crammed into the other bridge half, often for a year or more, while construction progresses.",1
house,"(White House quote)
A Ukrainian professor of International Law, Alexander Merezhko, has developed a project called the International Convention on Prohibition of Cyberwar in Internet.","A working example of this type of accumulator may be found at the hydraulic engine house, Bristol Harbour.",4
option,"with the option of using WorkXPlore 3D
Advanced planning and scheduling systems (Ortems and Preactor)
CRM software (Sage Vente Partner, etc.)",It specifies either a pre-qualification option (chapter 3) or a qualification option (chapter 4) for approval of welding processes.,2
option,Mosaic and browsers derived from it had a user option to automatically display images inline or to show an icon for opening in external programs.,"In digital, medium format is a very expensive option, with typical brand new all-digital medium-format cameras retailing for $10,000 (Mamiya ZD) to $32,000 (Hasselblad H3D) in 2008.",4
reduction,"Also in this category are more modern areas of study such as dimensionality reduction, projection pursuit, and independent component analysis.","The jacking gear rotates the shaft or rotor and associated machinery (such as reduction gears and main turbines), to ensure uniform cool-down.",4
expression,MC-Ed is a native Windows software to perform uncertainty calculations according to the Supplement 1 to the Guide to the expression of uncertainty in measurement using Monte-Carlo method.,"(4)-(7) is approximated with the expression,

Starting from Eq.",2
distance,SSAP works by first constructing a series of inter-residue distance vectors between each residue and its nearest non-contiguous neighbors on each protein.,"Additionally, the blades are placed a considerable distance in front of the tower and are sometimes tilted forward into the wind a small amount.",2
argument,It specifies that the argument must be greater than or equal to zero and less than or equal to 23.,A more conceptual argument was provided by Julian Schwinger in 1950.,4
disk,"Additionally, if K is (the interior of) a curve of constant width, then the Minkowski sum of K and of its 180° rotation is a disk.","The assembly of the hub, disk and blades is known as the fan wheel, and often includes other components with aerodynamic or structural functions.",3
order,The lexicographic method assumes that the objectives can be ranked in the order of importance.,They chose the pyramidal shape with an angle of 136° between opposite faces in order to obtain hardness numbers that would be as close as possible to Brinell hardness numbers for the specimen.,4
bar,The size of any selected item(s) is not shown on the status bar but is shown in the details pane just above the status bar.,Many also have in-built bar code scanners to allow identification of containers.,4
phase,"Java applet, includes phase space and parameters can be changed at any time.",It is believed that the phase transition between the hexagonal (ice Ih) and orthorhombic (ice XI) phases of ice is enabled by proton tunneling.,3
film,A cover of Rundgren's version is also used in the 2003 film Camp as the cast is introduced at the end of the film.,"The Galilei number is used in viscous flow and thermal expansion calculations, for example to describe fluid film flow over walls.",4
report,"Technical Report, Secure Networks, Inc., January 1998.",Some historians report the surviving rifles were apparently put in storage in New York.,3
bar,"Maximization can be accomplished using the afore-mentioned window snapping, or by double-clicking the window title bar.","It consists of a steel bar running on at a roughly 45° angle from the center of the door to the floor, on the inside of the area to be secured.",4
film,"(25C3 Video Recording)
Joseph Weizenbaum, Famed Programmer, Is Dead at 85, New York Times
Plug & Pray, Documentary Film on Joseph Weizenbaum and the ethics of technology","Interviews with scientists, archival film, and contemporary footage, as well as slow-motion sequences, are used in the film.",1
room,Finding room for the KY-28 in fighter aircraft was difficult.,"In naval architecture, stowage is the amount of room available for stowing materials aboard a ship, tank or an airplane.",1
report,"Strava allows users to report issues with the maps, which are linked the OpenStreetMap editor so that users can contribute improvements to the map.","Report to the National Science Foundation, IRIS consortium.",4
customer,"by, for example, impersonating a bank, a contractor, or a customer.","HASA is a form of HASS – a powerful testing tool for improving product reliability, reducing warranty costs and increasing customer satisfaction.",2
phase,Adaptive sampling exploits this property to simulate the protein's phase space in between these states.,"(1987) introduced recurrence plots, which provide a way to visualize the periodic nature of a trajectory through a phase space.",1
bar,The bar mitzvah attack is an attack on the SSL/TLS protocols that exploits the use of the RC4 cipher with weak keys for that cipher.,"Masjid al-Haram#Current expansion project, Mecca, Saudi Arabia : has more than 600 sensors ( Concrete pressure cell, Embedment type strain gauge, Sister bar strain gauge, etc.)",4
link,"Evidence, if more were needed, of the link between social and environmental global change came with the 2008-2009 global financial crisis.",The 8020/9020 tractors got features like Independent Link Suspension and ActiveSeat to give the farmer a more comfortable and productive day in the field.,4
reduction,"Her research takes a statistical approach to kernel methods, dimensionality reduction, and regularization in machine learning.",A reduction drive is a mechanical device to shift rotational speed.,4
disk,"Creatures: The Albian Years
Creatures 1 and Creatures 2 on one disk, updated to run on Windows XP.",The #6-32 UNC screws are often found on hard disk drives and the case's body to secure the covers.,2
hull,"If T consists of a single connected component, then it covers exactly its convex hull, and this algorithm is sufficient.",Damage may occur in the form of dished hull plating or even more serious holing of the hull.,4
customer,"by, for example, impersonating a bank, a contractor, or a customer.","1902 – A third brother, J. Ronald Taylor opens a branch in New York, with the principal customer being the Eastman Kodak Company.",2
year,"Cadbury, with a 30% reduction of energy costs
The City of Boston, with a 44% reduction in PC power consumption, saving between $24,000 and $72,000 per year.","Peter Timotheatos, Aveos Chief Financial Officer, stated, ""We presented our plans to various lenders over a year ago and we are very pleased with the outcome today.",1
report,"""The genealogy of theoretical computer science: a preliminary report"".","These systems are much more advanced than the mechanical time clock: various reports can be generated, including on compliance with the European Working Time Directive, and a Bradford factor report.",3
room,This was found along with the key to HAL's Brain Room.,A humidifier is a device that increases humidity (moisture) in a single room or an entire building.,1
order,If the nested function is passed as an argument to a higher-order function a closure needs to be built in order to locate the non-local variables.,This 'part night' option was widely adopted in the United Kingdom for street lighting in the 1970s and 1980s in order to conserve energy.,1
transfer,"Topics covered include knowledge assets and management, new product introduction and transfer of technology.","January 29, 2009 – Isuzu and General Motors announce that they are in talks to transfer the operation of the medium-duty truck production line in Flint, Michigan to Isuzu for a five-year period.",2
distance,His collaboration distance to other HCI researchers has been described by the Grudin number.,"That is, that particular servo model rotates the shaft with the angular speed of (2π / 6) / 0.2 s = 5.2 rad/s while producing 2 kg × 9.81 m/s2 = 19.6 N force at 1 cm distance, i.e.",3
reduction,"), deinterlacing, image noise reduction, adaptive video compression, and image enhancement.","Front wheels are powered directly by the hybrid powertrain, rear wheels are powered by a dedicated electric motor with its own power control unit, reduction gear and differential.",4
distance,"Further features like intersections, distance calculation and parametrizing the inputs are available.",Distance of nozzle from workpiece affects the size of the kerf and the removal rate of material.,2
room,"Examples of physical security system components include:
Locks – locks may be used to secure a building or room that a computer is in.","For samples that are soft or flexible at room temperature, cryogenic grinding may be the only viable technique for processing samples.",1
expression,"Modern devices are being experimented with, that may potentially allow that computer related device to respond to and understand an individuals hand gesture, specific movement or facial expression.",This expression can be further integrated to obtain the position r of the particle as a function of time.,4
house,"Metallica used a talk box during the solo on ""The House Jack Built"", from the 1996 album Load.","In 1835 Macneill gave evidence to the House of Common on the relative advantages of the telegraph, elliptical and other springs as regards the draught of carriages.",4
disk,"For example, data stored on disk are expected to be stable – they are not supposed to be changed at random by problems with a disk controller.","Within the center section is a disk mounted on an axle, with weak springs that keep it centered, away from both entries.",3
hull,"Initially, the set of known edges is initialized to the convex hull of the input, and all remaining pairs of vertices form candidate edges.","The US Fleet submarines of World War II had a hull section that was not quite circular, causing the nodal circle to separate from the neutral plane, giving rise to additional stresses.",4
film,"It features 46 film clips taken from 27 documentary films, extensive interactive timelines, in-depth essays supported by primary documents, photos, and other resources.",The thickness of such a film is temperature dependent and is thinner on the colder side of the particle.,4
argument,A proof is sufficient evidence or a sufficient argument for the truth of a proposition.,A more conceptual argument was provided by Julian Schwinger in 1950.,3
argument,"Each function has an implicit history argument which is used for doing things like strictly functional input/output (I/O), but is also used for linking to C code.","The second objective is a reply to arguments such as John Searle's Chinese room argument, Hubert Dreyfus' critique of AI or Roger Penrose's argument in The Emperor's New Mind.",4
interpretation,"However, Mumford’s interpretation of Pattern Theory is broader and he defines PT to include many more well-known statistical methods.","These exceptions leave room for interpretation and provide scope, together with the currently applied test procedure, for tailoring the emissions performance [...].",1
house,"""Cozy Bear"" has in the past year infiltrated unclassified computer systems of the White House, the U.S. State Department, and the U.S. Joint Chiefs of Staff.","In 2010, a jury awarded $1.2 million in damages in a lawsuit against a landlord for neglecting to repair a mold-infested house in Laguna Beach, California.",4
expression,"No automatic valve will know what this means because ""a bit to the right"" is a linguistic expression, and a valve must be turned by numerical values, i.e.",The expression for the mean is a continuous function of q over the range of definition for which it is finite.,3
block,"With the rxadm utility, the user is capable of dynamically attaching, removing, and resizing RAM disk volumes and treat them like any other block device.","The cam element is often a plate or block, but may be any cross section.",4
block,"For NMDA, there is a significant effect of magnesium block that depends sigmoidally on the concentration of intracellular magnesium by B(V).","The simplest Roman crane, the trispastos, consisted of a single-beam jib, a winch, a rope, and a block containing three pulleys.",4
link,"CS1 maint: Uses editors parameter (link)
Gondzio, Jacek; Terlaky, Tamás (1996).","CS1 maint: Unfit url (link)
SS Claverly Wreck Report, with a stern view of SS Claverley showing narrow harbour decks a short distance above the water.",1
order,"In order to program in Artspeak on the CDC 6600, one had to use punch cards and utilize batch processing.",All my life I maintained respect for order and law.,4
interpretation,The methods for describing the potential energy are broken down into a classical mechanics interpretation (molecular mechanics) and a quantum mechanical interpretation.,"SEG's newest publication, Interpretation, launched in August 2013, is a peer-reviewed journal co-published by SEG and AAPG for advancing the practice of subsurface interpretation.",2
phase,The objective of haplotype phasing is to find the phase of the two haplotypes given the combined genotype information.,"The position at a given time t also depends on the phase, φ, which determines the starting point on the sine wave.",3
customer,"Among other things, the suite is designed to help ""enterprise class marketers"" ""see the complete customer journey"", generate ""useful insights"", and ""deliver engaging experiences to the right people"".","Some of the vehicles will be evaluated ""in typical customer settings"", according to Ford.",1
interpretation,"Facts can be filtered according to various aspects of their interpretation (e.g., negation, certainly level, novelty).",The physical interpretation of the eigenvalues and eigenvectors which come from solving the system are that they represent the frequencies and corresponding mode shapes.,2
transfer,"Tannehill, John C., et al., (1997), Computational Fluid mechanics and Heat Transfer, 2nd Ed., Taylor and Francis.","It is useful in electrical systems (including electronics), mechanical multibody systems, heat transfer, acoustics, etc.",1
hull,So are all cones in R3 whose base is the convex hull of a regular polygon with an odd number of vertices.,"Since the reactor occupied the center of the ship, and because the reactor required clear overhead access for a crane during refueling, the superstructure was set far back on the hull.",4
transfer,"The original Accord defined a programmatic interface for transfer of event information, in terms of Fortran common blocks, but no data exchange file format was defined until 2006.","The heat transfer rate is finite, so the faster the reaction is, the closer to adiabatic condition it runs and the higher is the achieved temperature.",4
year,"A year later, McCarthy moved to MIT as a research fellow in the autumn of 1956.","A solar-tracking 7 kW photovoltaic system would probably have an installed price well over $20,000 USD (with PV equipment prices currently falling at roughly 17% per year).",1
option,File types that have identified themselves as being printable also have an option listed to print the file.,"Monte Carlo methods are also used in option pricing, default risk analysis.",4
block,"Working from an equation description of the problem or a block diagram, the user writes ACSL statements to describe the system under investigation.","Cylinders are generally arranged in this manner when the engine block is of limited size or when stability of the cylinder bores is of concern, such as in racing engines.",4
link,which is now a dead link since this base closed in 2011.,"CS1 maint: Multiple names: authors list (link)
C. Tannoudji, B.Diu, F.Laloë (1977).",3
