Term, Sentence A, Sentence B, Sentence C, Sentence D, Sentence E
rail,The lab is within walking distance to the Kramer Station of the Capital MetroRail light rail system.,because of a gap in the third rail at a junction) the flywheel would power the MG set for a short period to bridge the gap.,"The Strain ""The Third Rail"" (21 Sep 2014): Mariela Martinez throws down an empty pack of Morley Lights.","There are also some applications for inspecting rail tracks, rods and metal plate structures.","Rail Trip (2005 gelding) - Won Hollywood Gold Cup and over $1.5 million, joined Old Friends in 2014."
brother,"His younger brother is David Hillis, a professor of evolutionary biology at the University of Texas at Austin, and his sister is Argye E. Hillis, a professor of neurology at Johns Hopkins University.",The Bioscop is a movie projector developed in 1895 by German inventors and filmmakers Max Skladanowsky and his brother Emil Skladanowsky (1866–1945).,"Three years previously, in 1844, Werner von Siemens put one of his inventions to use for medical purposes for the first time, using electricity to treat his brother Friedrich for tooth pain.","A year later his brother, Harlow Bundy, organized the Bundy Manufacturing Company, and began mass-producing time clocks.","Johnson enrolled Christopher and his brother, Benjamin, in Princeton Country Day School, which later merged with Miss Fine's School for Girls to become the co-educational Princeton Day School."
experience,Two particles experience a collision which isn't head-on simply pass through each other and continue in the same direction.,If the user is replacing a standard definition TV with an HDTV this implies that the best visual experience will be with a set that is twice as tall as the standard definition set.,"Many dentists refer to themselves as ""cosmetic dentists"" regardless of their specific education, specialty, training, and experience in this field.","In ordinary laboratory experience, using common units and methods of measurement, it may seem that we look at the present, but in fact there is always a delay time for light to propagate.","This serves to give those substitutes playing time experience in an actual game situation, as well as to protect the best players from the possibility of injury."
founder,"He is the founder of the Knowledge Media Design Institute (KMDI) and the Technologies for Aging Gracefully Lab (TAGlab), both at the University of Toronto.","In 1927, the company founder adopted the brand name ""National"" (ナショナル, Nashonaru) for a new lamp product.","Palmer, the founder of chiropractic, wrote:
""Physiologists divide nerve-fibers, which form the nerves, into two classes, afferent and efferent.","This product was invented by the founder of the company, an inventor and an engineer, Mauno Kari.","Chiba Shusaku Narimasa, founder of the Hokushin Ittō-ryū Hyōhō (北辰一刀流兵法), introduced Gekiken (撃剣) (full contact duels with shinai and bogu) to the curriculum of this koryū in the 1820s."
stage,"At that stage, the Flipps company value was estimated at slightly less than $3 million.","Some chargers may keep the voltage at Umax for some time and allow the current to drop to 80% of the constant-current value, before proceeding to the next stage.","Depending on the stage of reproductive development, interference with hormonal signaling can result in irreversible effects not seen in adults exposed to the same dose for the same length of time.","simplified the first compression stage by introducing the removable hatbox design, allowing ordinary machine presses to be converted into multi-anvil systems.","Worst finish by host team
Group stage:  Norway (1997) and  England (2005)."
bike,"February 2015


== Charity ==
From 2003 to 2012 he rode in the annual Waves to Wine MS charity event as part of Bike MS; a 2-day cycling adventure.","Active 10 BIKE (the device, a bike mount and a power pack including adaptors and a 2700mAh lithium polymer rechargeable battery.","This is a common injury sustained from bike falls, as the thumb is generally extended while around the handle bars.",Produced mainly in China these replicas of popular Honda small gasoline engines are becoming extremely popular in the Karting and Mini Bike sports.,In no way can a race bike have any component that will directly interfere with another horse or driver.
founder,Internet entrepreneur and Wikimedia founder Jimmy Wales described Microsoft's offer as unethical.,"For example, in his PAL vs. NTSC article, the founder of MichaelDVD says: ""Personally, I find [3:2 pulldown] all but intolerable and find it very hard to watch a movie on an NTSC DVD because of it.""","Peter Radtke - German founder of Die Deutsche Gesellschaft für Osteogenesis Imperfecta, also a philologist and actor.",In 1860 Penn was a founder member of the Royal Institution of Naval Architects.,"The need for archers grew dramatically during the Genpei War (1180–1185) and as a result the founder of the Ogasawara-ryū (Ogasawara Nagakiyo), began teaching yabusame (mounted archery)."
story,"Designing Interactive Life Story Multimedia for a Family Affected by Alzheimer’s Disease: A Case Study, Proc.",The story later became part of a collection of Asimov short stories called Nightfall and Other Stories in 1969.,"B. thuringiensis is often used by gardeners to control grubs, thus the Iraqis at one time also used the cover story that the Al Hakum facility was created to deal with the Iraqi grub problem.",Straight from the Horse's Mouth: The Wheel Horse Story.,"Pep later sued Sports Illustrated for 75 million dollars after Sports Illustrated ran a story in 1981 suggesting Pep took a dive for 16,000 dollars."
argument,"The only requirement that DBI makes is that all the information, except for username and password is supplied in a single string argument.","2000 - Stephen E. Robertson, City University London : ""On theoretical argument in information retrieval.",Snow additionally disagreed with Simpson's argument that the laboring patient should be anesthetized to the level of unconsciousness.,"In his 2004 text, Refactoring to Patterns, Joshua Kerievsky presents a comparable argument concerning the costs associated with architectural negligence, which he describes as ""design debt"".","The Speedway's argument fell apart, and they decided upon a special amended command for that year."
panel,The aim is to convince a panel of judges that it is actually a human player.,"This allowed the engineers operating the computer to monitor the internal state of the machine, so this panel of lights came to be known as the 'monitor'.","In econometrics, ""idiosyncratic error"" is used to describe error from panel data that both changes over time and across units (individuals, firms, cities, etc.)",This procedure is called the vortex panel method of computational fluid dynamics.,"This resulted in a positive urine test, with the court concluding: ""The Panel is aware of the impact its decision will have on a fine, young, elite athlete."
